id,text,platform
1,Good morning nanba! Semma day start aguthu ,Twitter
2,"Traffic la stuck agitu iruken, waste of time",Twitter
3,"Movie semma bore adichuthu, time waste",Instagram
4,Birthday wishes to my best friend! ,Facebook
5,"Food delivery late ah vanthuchu, disappointed",Twitter
6,Weekend vibes semma relaxing ah irukku ,Instagram
7,"Work pressure romba high, stress aguthu",LinkedIn
8,New project success! Team semma worked hard,LinkedIn
9,Weather apdi semma pleasant ah irukku,Twitter
10,Online shopping experience was okay,Facebook
