id,text,movie
1,Story line semma interesting ah irunthuchu,Action Movie
2,"Acting vera level, hero semma performed",Action Movie
3,Music background score waste ah irukku,Action Movie
4,Climax scene romba disappointing,Action Movie
5,Visual effects apdi super ah irukku,Action Movie
6,Direction semma perfect ah handle pannirukkaru,Action Movie
7,Movie length konjam long feel aguthu,Action Movie
8,Supporting cast ellam nalla perform pannirukku,Action Movie
9,Overall entertainment guaranteed,Action Movie
10,Second half la twist semma shock ah irukku,Action Movie
