id,text,restaurant
1,Food taste semma delicious ah irunthuchu,Biryani House
2,"Service vera level, staff friendly ah irukku",Biryani House
3,Waiting time romba long ah irunthuchu,Biryani House
4,Ambiance semma pleasant ah setup pannirukku,Biryani House
5,Price konjam high but quality worth it,Biryani House
6,Hygiene maintain pannirukka ellam perfect,Biryani House
7,"Quantity romba less ah irukku, not satisfied",Biryani House
8,"Taste authentic ah irukku, traditional style",Biryani House
9,"Parking facility okay, but crowded area",Biryani House
10,Overall dining experience was good,Biryani House
